atlas cafe,2.000000,3.500000
blue bottle coffee,4.000000,1.000000
dandelion chocolate,2.666667,3.333333
ike's sandwiches,3.500000,2.250000
mission cheese,2.666667,2.200000
mr. pickle's,2.857143,
pizzeria delfina,2.000000
radish,4.000000,
salumeria,3.375000,3.400000
sightglass coffee,2.666667,3.500000
stable cafe,3.444444,3.500000
the american grilled cheese kitchen,4.000000,3.500000
yamo,3.250000,2.200000
